campaign_id,campaign_name,start_date,budget,spent_amount,impressions,clicks,conversions,campaign_status,campaign_type,end_date,target_audience
29,Fall Social Push 2023,2025-11-14,33599.94,24269.6,1596609.0,12395.0,303.0,Paused,Michael Chen,,
30,Social Proof Campaign 2025,2025-07-24,9621.67,9587.3,737165.0,10895.0,96.0,Completed,Michael Chen,,
31,Community Engagement 2025,2025-12-01,28629.84,7454.99,387518.0,6735.0,128.0,Active,David Kim,,
32,Fall Newsletter Campaign 2024,2024-11-18,7747.35,7874.68,742263.0,25622.0,564.0,Completed,Kevin Brown,,
33,Brand Keywords Campaign 2024,2025-05-29,54444.8,43754.86,3953618.0,237105.0,6330.0,Completed,Andrew Thompson,,
34,Loyalty Mailer 2024,2025-10-07,46171.19,47310.11,NaN,NaN,NaN,Completed,Stephanie Davis,,
35,Remarketing Search 2025,2024-11-16,27813.17,25247.17,4866687.0,339382.0,26938.0,Completed,Sarah Johnson,,
36,User Generated Content 2023,2025-12-10,45796.0,10746.01,858041.0,24580.0,1134.0,Active,Brian Wilson,,
37,Q3 Social Push 2023,2025-11-12,32831.96,22259.88,1176413.0,17295.0,474.0,Paused,Michael Chen,,
38,Spring Social Push 2025,2026-01-08,65378.43,0.0,0.0,0.0,0.0,Planned,Stephanie Davis,,
39,Programmatic Display 2025,2025-11-30,14451.94,3460.58,237371.0,280.0,8.0,Active,Amanda Lee,,
40,Trending Topic Campaign 2025,2025-05-29,62213.74,10678.59,851459.0,8080.0,391.0,Cancelled,Emily Rodriguez,,
41,Event Reminder SMS 2024,2025-08-20,5139.55,4431.98,756385.0,61319.0,7123.0,Completed,Sarah Johnson,,
42,Winter Display Ads 2023,2025-11-19,61985.34,41617.9,2996922.0,28120.0,546.0,Active,Stephanie Davis,,
43,Audience Display Campaign 2023,2026-03-24,51323.3,0.0,0.0,0.0,0.0,Planned,Kevin Brown,,
44,Q4 Social Push 2025,2025-08-05,18213.38,17549.37,1391054.0,13978.0,288.0,Completed,Kevin Brown,,
45,New Arrivals Newsletter 2023,2025-12-04,4609.92,930.77,143742.0,9264.0,490.0,Active,James Miller,,
46,Product Display Ads 2024,2025-12-15,83532.37,11260.55,585878.0,3666.0,114.0,Active,Stephanie Davis,,
47,Brand Awareness Drive 2023,2024-12-29,31132.09,30580.64,2119479.0,44646.0,2170.0,Completed,Rachel Green,,
48,YouTube Pre-Roll 2025,2025-11-16,2843.02,1088.42,188303.0,1018.0,41.0,Active,Rachel Green,,
49,Brand Keywords Campaign 2023,2025-12-18,43906.32,3087.58,204006.0,13795.0,306.0,Active,Nicole Taylor,,
50,Testimonial Videos 2024,2024-11-22,60967.5,60457.54,3270333.0,43525.0,1925.0,Completed,Andrew Thompson,,
51,Q4 Search Campaign 2023,2025-08-07,27632.31,22505.94,1145972.0,96395.0,8673.0,Completed,Chris Anderson,,
52,Easter Email Blast 2024,2025-01-21,6997.21,434.16,59870.0,1117.0,78.0,Cancelled,Andrew Thompson,,
53,User Generated Content 2025,2025-12-15,56263.61,11778.16,603838.0,3263.0,70.0,Active,Kevin Brown,,
54,Black Friday Social Campaign 2024,2025-12-08,8978.47,2473.88,130943.0,2030.0,74.0,Active,Brian Wilson,,
55,Social Contest Campaign 2023,2025-09-02,74857.33,10947.93,705401.0,21014.0,121.0,Cancelled,Andrew Thompson,,
56,Social Proof Campaign 2024,2025-11-06,81300.93,32414.27,4939117.0,60252.0,1758.0,Paused,Amanda Lee,,
57,High Intent Keywords 2024,2025-02-19,22349.23,21883.65,1162061.0,73794.0,2818.0,Completed,Emily Rodriguez,,
58,Winter Display Ads 2024,2025-06-13,17908.03,18272.83,2412362.0,13072.0,221.0,Completed,Kevin Brown,,
59,New Customer Welcome Kit 2025,2025-09-27,36737.51,35842.02,NaN,NaN,NaN,Completed,Kevin Brown,,
60,Q4 Social Push 2024,2025-12-07,65052.45,16288.79,2026350.0,29640.0,902.0,Active,Jessica Martinez,,
61,Cross-Network Display 2024,2025-06-01,62329.76,56677.96,5987310.0,8373.0,277.0,Completed,David Kim,,
62,Product Display Ads 2023,2025-07-06,4132.24,690.16,48526.0,458.0,13.0,Cancelled,David Kim,,
63,Flash Sale SMS 2023,2026-02-13,2822.09,0.0,0.0,0.0,0.0,Planned,Rachel Green,,
64,Winter Search Campaign 2025,2025-11-07,72657.5,43799.7,4272048.0,310234.0,13350.0,Active,Michael Chen,,
65,Shopping Ads Campaign 2023,2025-12-08,89643.03,16520.53,2411676.0,219373.0,21350.0,Active,David Kim,,
66,Streaming TV Ads 2023,2026-01-23,58214.58,0.0,0.0,0.0,0.0,Planned,Rachel Green,,
67,Product Showcase Social 2023,2025-01-04,28838.39,27078.52,1420730.0,37677.0,954.0,Completed,Jessica Martinez,,
68,Back to School Social Campaign 2024,2025-08-20,23248.6,1580.23,296158.0,8016.0,346.0,Cancelled,Jessica Martinez,,
69,Dynamic Search Ads 2023,2025-01-02,90272.42,78979.13,4891994.0,255962.0,9495.0,Completed,Andrew Thompson,,
70,New Arrivals Newsletter 2024,2025-03-17,5772.81,5803.5,810339.0,25724.0,889.0,Completed,Emily Rodriguez,,
71,Fall Display Ads 2025,2025-06-27,27754.98,25644.63,1958569.0,17152.0,557.0,Completed,Brian Wilson,,
72,Win-Back Mailer 2025,2025-09-21,34612.32,5080.41,NaN,NaN,NaN,Cancelled,Andrew Thompson,,
73,Limited Time Offer SMS 2024,2025-04-09,1669.18,1566.44,104901.0,8134.0,525.0,Completed,Sarah Johnson,,
74,Social Video Ads 2024,2025-12-07,40930.15,7500.69,1193172.0,26556.0,713.0,Active,Rachel Green,,
75,YouTube Pre-Roll 2023,2025-12-07,92675.5,42847.78,2747113.0,15375.0,225.0,Active,Brian Wilson,,
76,Product Demo Videos 2023,2026-03-06,48171.81,0.0,0.0,0.0,0.0,Planned,Amanda Lee,,
77,Back to School Video Push 2025,2024-12-16,25877.73,25517.04,2148071.0,35470.0,1392.0,Completed,Jessica Martinez,,
78,Remarketing Search 2023,2025-05-27,41672.55,36327.77,2156237.0,105391.0,5753.0,Completed,Kevin Brown,,
79,Tutorial Video Ads 2023,2025-11-09,53908.24,16972.37,896450.0,6364.0,134.0,Active,Amanda Lee,,
80,Trending Topic Campaign 2024,2025-03-22,85162.68,73349.52,3777758.0,26385.0,693.0,Completed,Kevin Brown,,
81,Q2 Search Campaign 2024,2025-07-03,5851.9,4742.74,375696.0,34160.0,2831.0,Completed,Nicole Taylor,,
82,Birthday SMS Special 2025,2025-12-12,1531.54,292.33,27027.0,1548.0,153.0,Paused,Rachel Green,,
83,Product Demo Videos 2024,2025-12-01,47306.03,15608.92,2812901.0,39967.0,1442.0,Active,Rachel Green,,
84,Spring Social Push 2023,2025-11-01,83788.53,49594.64,2604304.0,70949.0,992.0,Active,Laura Garcia,,
85,Brand Story Video 2024,2025-12-05,93303.71,26813.14,2147868.0,28585.0,612.0,Paused,Jessica Martinez,,
86,Year End Search Push 2025,2024-12-26,47546.45,45968.51,5924486.0,366385.0,31020.0,Completed,Amanda Lee,,
87,Restock Alert SMS 2025,2025-11-21,7235.35,3480.21,374619.0,50023.0,4065.0,Active,Chris Anderson,,
88,Black Friday Social Campaign 2023,2025-12-09,59671.31,20215.0,3668279.0,35966.0,1442.0,Active,Jessica Martinez,,
89,Q1 Newsletter Campaign 2023,2025-06-19,2935.45,250.03,13784.0,318.0,10.0,Cancelled,Stephanie Davis,,
90,Shopping Ads Campaign 2025,2025-11-15,78437.74,28617.84,1442080.0,117335.0,6442.0,Active,Nicole Taylor,,
91,Spring Display Ads 2025,2025-11-13,33115.49,12694.99,2073307.0,5599.0,155.0,Paused,Stephanie Davis,,
92,Win-Back Mailer 2024,2025-02-09,39658.75,7885.67,NaN,NaN,NaN,Cancelled,Kevin Brown,,
93,Spring Social Push 2024,2025-09-04,81613.46,81569.35,10375393.0,70685.0,1800.0,Completed,David Kim,,
94,Brand Awareness Display 2023,2025-04-08,80499.31,73755.04,8590268.0,21984.0,911.0,Completed,Sarah Johnson,,
95,Brand Awareness Drive 2024,2025-10-27,73626.94,43408.28,4097969.0,21725.0,882.0,Active,Emily Rodriguez,,
96,Local Search Campaign 2024,2025-03-21,63381.01,50762.89,3288214.0,110328.0,6502.0,Completed,Kevin Brown,,
97,Product Launch Announcement 2025,2025-12-08,7786.64,1260.54,79824.0,5200.0,292.0,Active,Amanda Lee,,
98,Influencer Partnership 2023,2025-10-15,55760.1,50880.29,5686993.0,80899.0,839.0,Completed,Amanda Lee,,
99,Dynamic Search Ads 2024,2026-01-18,28415.06,0.0,0.0,0.0,0.0,Planned,Chris Anderson,,
100,Influencer Partnership 2025,2025-08-24,44656.26,46741.82,6994996.0,43186.0,571.0,Completed,Stephanie Davis,,
101,Holiday Search Push 2025,2026-02-05,94347.98,0.0,0.0,0.0,0.0,Planned,David Kim,,
102,Q4 Search Campaign 2024,2025-04-13,46426.81,48078.29,3061143.0,164784.0,14978.0,Completed,Stephanie Davis,,
103,Memorial Day Social Campaign 2023,2026-03-03,8502.51,0.0,0.0,0.0,0.0,Planned,Sarah Johnson,,
104,Spring Search Campaign 2023,2025-03-27,93225.99,96178.45,17033195.0,442350.0,40121.0,Completed,Stephanie Davis,,
105,Cyber Monday Email Blast 2024,2025-10-29,4841.12,3048.29,228609.0,11153.0,118.0,Active,Chris Anderson,,
106,Competitor Conquest 2023,2025-09-06,16125.9,13596.62,1553238.0,128778.0,9624.0,Completed,Brian Wilson,,
107,Competitor Conquest 2025,2025-11-14,38770.98,29327.49,2844158.0,260652.0,21109.0,Active,Nicole Taylor,,
108,Q1 Social Push 2024,2025-11-21,16443.58,7051.88,374681.0,7670.0,228.0,Active,Rachel Green,,
109,Valentine Email Blast 2023,2025-09-17,8908.16,491.03,50603.0,1961.0,154.0,Cancelled,David Kim,,
110,Summer Social Push 2024,2025-12-27,26345.65,33.29,4313.0,101.0,4.0,Cancelled,David Kim,,
111,Retargeting Display 2024,2025-11-24,60529.43,25236.04,2238822.0,6187.0,169.0,Active,Sarah Johnson,,
112,Cyber Monday Search Push 2024,2025-11-26,6154.76,1683.98,137822.0,9528.0,776.0,Active,Emily Rodriguez,,
113,Labor Day Social Campaign 2023,2024-11-03,11869.55,12153.33,698059.0,19357.0,164.0,Completed,Brian Wilson,,
114,Trending Topic Campaign 2023,2025-06-07,87812.28,90153.59,10204789.0,90708.0,2294.0,Completed,Rachel Green,,
115,Q2 Social Push 2025,2024-10-31,81163.6,74623.16,5456903.0,42735.0,549.0,Completed,Michael Chen,,
116,Weekly Deals Newsletter 2024,2025-09-10,3706.88,3388.56,337426.0,14108.0,589.0,Completed,David Kim,,
117,Loyalty Rewards Email 2023,2024-12-25,5222.95,447.67,52957.0,913.0,42.0,Cancelled,Amanda Lee,,
118,Prime Day Email Blast 2023,2025-12-05,5265.59,2925.08,270940.0,7850.0,277.0,Active,Laura Garcia,,
119,Product Demo Videos 2025,2025-10-29,47658.77,32324.09,2146189.0,49950.0,2117.0,Paused,Jessica Martinez,,
120,Prime Day Social Campaign 2024,2025-12-11,58690.8,9856.52,683382.0,4175.0,81.0,Active,Kevin Brown,,
121,Memorial Day Social Campaign 2024,2025-08-25,74976.28,73218.83,4940993.0,99730.0,4589.0,Completed,Stephanie Davis,,
122,Back to School Video Push 2024,2024-12-16,36890.22,29934.8,2646801.0,30422.0,928.0,Completed,Amanda Lee,,
123,Social Video Ads 2025,2026-02-27,81363.35,0.0,0.0,0.0,0.0,Planned,David Kim,,
124,Trending Topic Campaign 2024 #124,2026-02-11,42865.64,0.0,0.0,0.0,0.0,Planned,Amanda Lee,,
125,Contextual Targeting 2025,2026-03-23,90794.01,0.0,0.0,0.0,0.0,Planned,Rachel Green,,
126,Influencer Partnership 2024,2025-02-02,64300.0,66816.41,8336070.0,140300.0,6717.0,Completed,Emily Rodriguez,,
127,Q3 Newsletter Campaign 2024,2025-11-03,8149.27,6343.06,497503.0,24092.0,817.0,Active,David Kim,,
128,Order Update SMS 2024,2025-06-09,9650.52,8245.52,554994.0,53753.0,2744.0,Completed,Andrew Thompson,,
129,Event Reminder SMS 2025,2026-02-05,3886.12,0.0,0.0,0.0,0.0,Planned,James Miller,,
130,VIP Early Access SMS 2025,2025-07-02,545.56,439.95,23045.0,1730.0,172.0,Completed,Jessica Martinez,,
131,Q1 Search Campaign 2024,2025-04-29,87262.47,73902.46,6448549.0,405980.0,22311.0,Completed,David Kim,,
132,Valentine Banner Ads 2025,2025-04-27,56811.34,54794.8,2742470.0,15604.0,358.0,Completed,Nicole Taylor,,
133,Q2 Social Push 2023,2025-12-07,61119.82,9853.33,600714.0,9523.0,403.0,Active,Chris Anderson,,
134,Summer Display Ads 2024,2025-11-02,87628.27,40732.42,4362002.0,22956.0,180.0,Active,James Miller,,
135,Limited Time Offer SMS 2025,2025-06-22,8162.29,7266.22,419741.0,61694.0,1505.0,Completed,Kevin Brown,,
136,Winter Newsletter Campaign 2024,2025-01-23,6930.94,7085.99,394310.0,17339.0,900.0,Completed,James Miller,,
137,Remarketing Search 2024,2025-09-05,54925.05,52670.85,4189845.0,402228.0,18804.0,Completed,Laura Garcia,,
138,Loyalty SMS Campaign 2024,2025-07-12,7547.39,7315.03,1095094.0,60002.0,5518.0,Completed,Brian Wilson,,
139,Social Video Ads 2023,2025-12-09,86018.99,10792.86,656214.0,8840.0,261.0,Active,Sarah Johnson,,
140,Flash Sale SMS 2024,2025-08-12,5408.17,5518.21,287062.0,37396.0,1297.0,Completed,Emily Rodriguez,,
141,Restock Alert SMS 2024,2025-06-13,837.74,768.85,70027.0,5200.0,211.0,Completed,James Miller,,
142,Year End Video Push 2023,2025-11-13,80228.08,65765.75,6923619.0,91817.0,3154.0,Active,Jessica Martinez,,
143,Labor Day Search Push 2023,2025-05-29,12104.2,10413.9,607923.0,14003.0,1381.0,Completed,Chris Anderson,,
144,Product Launch Announcement 2023,2025-06-29,8491.22,7531.52,620203.0,14442.0,807.0,Completed,James Miller,,
145,Q3 Search Campaign 2024,2025-12-01,4448.77,1402.43,176396.0,7099.0,515.0,Paused,James Miller,,
146,Limited Time Offer SMS 2023,2025-11-17,4664.29,1712.25,87027.0,10774.0,385.0,Paused,Laura Garcia,,
147,Social Contest Campaign 2024,2025-10-28,72390.88,36132.6,2509267.0,41844.0,904.0,Active,Sarah Johnson,,
148,Postcard Campaign 2023,2025-03-26,40172.04,40636.99,NaN,NaN,NaN,Completed,Michael Chen,,
149,Contextual Targeting 2024,2025-11-10,74214.56,45493.62,3533755.0,22674.0,805.0,Active,Nicole Taylor,,
150,Easter Search Push 2023,2025-07-26,2070.14,1682.34,176330.0,8538.0,237.0,Completed,Emily Rodriguez,,
151,Holiday Social Campaign 2025,2025-11-28,54412.9,31992.7,4290507.0,55673.0,1122.0,Paused,David Kim,,
152,High Intent Keywords 2025,2025-12-08,21047.18,516.54,28181.0,1300.0,93.0,Cancelled,Jessica Martinez,,
153,Cross-Network Display 2025,2025-11-23,76364.3,26247.99,1417249.0,12417.0,153.0,Active,James Miller,,
154,Holiday Video Push 2024,2025-12-08,72872.11,11004.69,883301.0,12946.0,330.0,Active,Kevin Brown,,
155,Flash Sale Alert 2024,2025-10-19,3019.86,2434.56,131809.0,5651.0,349.0,Completed,Emily Rodriguez,,
156,Brand Awareness Display 2025,2025-12-15,87544.07,6298.26,496891.0,2170.0,44.0,Active,Nicole Taylor,,
157,Birthday Special Campaign 2025,2026-03-08,7504.93,0.0,0.0,0.0,0.0,Planned,Brian Wilson,,
158,Easter Email Blast 2025,2025-10-30,6174.27,3953.11,300236.0,6590.0,271.0,Active,Andrew Thompson,,
159,Valentine Social Campaign 2024,2024-12-12,9564.31,7895.27,509463.0,10262.0,141.0,Completed,Emily Rodriguez,,
160,Product Display Ads 2025,2025-11-19,27369.81,14556.93,809856.0,4399.0,208.0,Active,Kevin Brown,,
161,Social Contest Campaign 2023 #161,2025-04-18,25078.23,23011.57,1912949.0,25789.0,627.0,Completed,Nicole Taylor,,
162,Tutorial Video Ads 2024,2025-12-11,56642.26,19141.4,1154913.0,6592.0,299.0,Active,Stephanie Davis,,
163,Back to School Social Campaign 2025,2025-11-27,39010.31,1290.14,150883.0,1130.0,35.0,Cancelled,Rachel Green,,
164,Winter Video Campaign 2024,2025-07-11,48489.19,7835.11,1560117.0,32959.0,1526.0,Cancelled,Rachel Green,,
165,Retargeting Display 2023,2025-11-11,45335.47,20701.52,2468336.0,5077.0,101.0,Active,Stephanie Davis,,
166,Abandoned Cart Recovery 2024,2025-07-17,1827.14,1914.66,96100.0,5006.0,160.0,Completed,Stephanie Davis,,
167,Easter Search Push 2024,2025-12-09,4886.44,1298.56,74163.0,6261.0,199.0,Paused,Nicole Taylor,,
168,Cyber Monday Direct Mail 2024,2025-12-03,23631.37,4529.41,NaN,NaN,NaN,Active,David Kim,,
169,Winter Catalog Mailing 2024,2025-07-09,33249.46,31277.34,NaN,NaN,NaN,Completed,Andrew Thompson,,
170,Spring Search Campaign 2024,2025-04-11,20121.39,17868.0,954522.0,64181.0,1751.0,Completed,Stephanie Davis,,
171,Birthday Special Campaign 2023,2025-12-02,2775.27,745.42,63015.0,3812.0,40.0,Active,Brian Wilson,,
172,Streaming TV Ads 2025,2025-08-21,4995.51,5017.28,252163.0,2096.0,13.0,Completed,Rachel Green,,
173,Prime Day Search Push 2024,2025-11-20,74139.78,44718.61,6353293.0,552749.0,26690.0,Paused,Stephanie Davis,,
174,Loyalty Rewards Email 2025,2024-11-02,5246.94,4670.7,468853.0,33798.0,2540.0,Completed,Brian Wilson,,
175,Winter Display Ads 2025,2024-12-01,48408.27,49915.75,7701535.0,16614.0,430.0,Completed,Jessica Martinez,,
176,Back to School Search Push 2024,2024-11-16,44497.56,36715.88,3148434.0,203374.0,15841.0,Completed,Laura Garcia,,
177,Product Showcase Social 2024,2025-11-04,65347.28,43183.79,4183628.0,44411.0,2040.0,Active,Nicole Taylor,,
178,Contextual Targeting 2023,2025-10-29,68743.3,49713.09,3943485.0,22065.0,918.0,Paused,Emily Rodriguez,,
179,Weekly Deals Newsletter 2025,2025-11-25,3502.86,963.28,64109.0,892.0,55.0,Paused,Sarah Johnson,,
180,Audience Display Campaign 2024,2026-03-08,91846.36,0.0,0.0,0.0,0.0,Planned,David Kim,,
181,Cyber Monday Search Push 2023,2025-08-17,52566.45,45973.75,2509812.0,57139.0,4030.0,Completed,Jessica Martinez,,
182,Native Advertising 2025,2025-11-17,62556.1,24368.23,3503761.0,24279.0,711.0,Active,Rachel Green,,
183,Holiday Social Campaign 2023,2025-02-19,39093.69,31644.65,2709576.0,72065.0,1132.0,Completed,Nicole Taylor,,
184,Coupon Mailer Campaign 2024,2025-11-16,25889.73,11358.52,NaN,NaN,NaN,Active,Amanda Lee,,
185,Native Advertising 2024,2025-02-10,41559.43,41295.78,2930019.0,20979.0,361.0,Completed,Jessica Martinez,,
186,Loyalty Rewards Email 2024,2025-09-27,9364.41,9620.21,529747.0,29730.0,1266.0,Completed,Laura Garcia,,
187,Q1 Social Push 2025,2025-11-05,68609.37,71427.18,3844805.0,44123.0,435.0,Completed,Andrew Thompson,,
188,Memorial Day Search Push 2023,2025-05-04,22321.61,21454.95,1363311.0,37631.0,2599.0,Completed,Michael Chen,,
189,Tutorial Video Ads 2025,2025-11-07,20704.93,11740.96,1690412.0,24503.0,582.0,Active,Brian Wilson,,
190,Product Showcase Social 2025 #190,2025-10-30,53438.45,28095.92,1430229.0,24870.0,845.0,Active,Laura Garcia,,
191,Holiday Email Blast 2023,2025-04-15,3867.35,773.25,100892.0,7768.0,447.0,Cancelled,Laura Garcia,,
192,Q4 Search Campaign 2025,2025-01-07,44364.34,38844.72,2461585.0,181412.0,7775.0,Completed,Kevin Brown,,
193,Weekly Deals Newsletter 2023,2025-07-19,699.62,37.79,3024.0,125.0,7.0,Cancelled,Michael Chen,,
194,Q3 Search Campaign 2023,2025-02-08,12054.36,5.1,478.0,37.0,0.0,Cancelled,James Miller,,
195,Brand Awareness Drive 2025,2025-12-17,75986.0,12291.08,2445616.0,51328.0,268.0,Paused,Emily Rodriguez,,
196,Q1 Catalog Mailing 2025,2026-01-12,12129.34,2007.74,NaN,NaN,NaN,Cancelled,Brian Wilson,,
197,Q4 Display Ads 2024,2025-03-20,55105.42,47935.74,2833786.0,7436.0,107.0,Completed,Jessica Martinez,,
198,Customer Win-Back Email 2023,2026-02-14,7502.74,0.0,0.0,0.0,0.0,Planned,Emily Rodriguez,,
199,Summer Social Push 2025,2025-01-13,63754.96,53516.36,2698290.0,46182.0,1785.0,Completed,Kevin Brown,,
200,Programmatic Display 2023,2025-11-01,34168.28,29723.67,2424612.0,6058.0,41.0,Active,Rachel Green,,
201,Shopping Ads Campaign 2023 #201,2025-11-25,41520.89,14837.52,789527.0,65635.0,4931.0,Paused,Rachel Green,,
202,Black Friday Email Blast 2024,2025-02-18,6379.43,6405.46,1004257.0,11224.0,127.0,Completed,James Miller,,
203,Cross-Network Display 2023,2025-04-05,16445.37,2462.28,143861.0,187.0,6.0,Cancelled,James Miller,,
204,Postcard Campaign 2025,2025-07-30,45981.3,39502.41,NaN,NaN,NaN,Completed,Kevin Brown,,
205,Q2 Display Ads 2023,2026-01-15,22210.75,0.0,0.0,0.0,0.0,Planned,Nicole Taylor,,
206,Valentine Search Push 2024,2024-11-11,59024.0,49100.68,4684198.0,260819.0,16049.0,Completed,James Miller,,
207,Back to School Social Campaign 2023,2025-12-10,43357.25,5531.21,514261.0,10359.0,422.0,Paused,Laura Garcia,,
208,Black Friday Search Push 2024,2025-12-18,38217.5,3887.19,259631.0,5412.0,171.0,Active,Andrew Thompson,,
209,Abandoned Cart Recovery 2025,2025-12-16,3926.61,474.35,40226.0,2250.0,156.0,Active,Laura Garcia,,
210,Audience Display Campaign 2025,2025-08-13,59183.86,58669.25,3485735.0,29950.0,1465.0,Completed,Chris Anderson,,
211,Q2 Search Campaign 2025,2025-10-27,7508.37,4487.31,427592.0,37207.0,1747.0,Paused,Kevin Brown,,
212,Labor Day Search Push 2025,2025-08-29,62992.92,65319.61,11520789.0,603776.0,20820.0,Completed,Rachel Green,,
213,Customer Win-Back Email 2025,2025-02-18,9203.26,9038.77,470789.0,10586.0,264.0,Completed,Sarah Johnson,,
214,Q3 Social Push 2025,2026-02-17,99559.29,0.0,0.0,0.0,0.0,Planned,Amanda Lee,,
215,Q3 Video Campaign 2023,2025-07-16,84284.29,69639.25,9396766.0,233008.0,9614.0,Completed,Nicole Taylor,,
216,Q2 Search Campaign 2023,2025-09-04,79150.25,68382.75,4514044.0,189274.0,6718.0,Completed,Laura Garcia,,
217,Prime Day Social Campaign 2025,2025-11-18,91652.58,35636.66,2131531.0,31223.0,457.0,Active,Sarah Johnson,,
218,Community Engagement 2025 #218,2025-05-29,80515.1,71169.82,5091648.0,65635.0,2014.0,Completed,Jessica Martinez,,
219,Prime Day Banner Ads 2023,2025-12-17,48027.62,5288.62,348528.0,2712.0,97.0,Active,Michael Chen,,
220,Flash Sale SMS 2025,2025-12-12,9723.61,2478.09,203064.0,12762.0,964.0,Active,Sarah Johnson,,
221,Q1 Display Ads 2023,2025-01-27,54661.61,45897.09,5894347.0,57499.0,1203.0,Completed,Chris Anderson,,
222,Year End Social Campaign 2025,2025-10-29,72967.73,45646.47,2834515.0,67576.0,547.0,Paused,Kevin Brown,,
223,Spring Newsletter Campaign 2023,2025-02-21,6564.6,5501.3,325094.0,9741.0,559.0,Completed,Brian Wilson,,
224,Q4 Social Push 2023,2025-01-03,81565.06,81395.19,9411147.0,187456.0,4687.0,Completed,Sarah Johnson,,
225,Q4 Newsletter Campaign 2024,2025-10-27,3486.19,2429.96,177951.0,3334.0,245.0,Paused,Brian Wilson,,
226,New Arrivals Newsletter 2025,2025-07-23,8599.1,8115.17,868026.0,12222.0,254.0,Completed,Michael Chen,,
227,Brand Awareness Display 2024,2025-02-11,91063.32,87403.05,11220278.0,93079.0,1437.0,Completed,Stephanie Davis,,
228,Q3 Display Ads 2025,2025-08-03,92133.18,96498.73,8361736.0,10008.0,246.0,Completed,Rachel Green,,
229,Fall Search Campaign 2024,2025-11-14,63496.04,25081.34,2000592.0,57860.0,1666.0,Active,Chris Anderson,,
230,User Generated Content 2025 #230,2025-12-14,67596.12,6328.47,704179.0,7685.0,263.0,Paused,Michael Chen,,
