campaign_ref,campaign_title,channel_type,launch_date,completion_date,allocated_budget,current_spend,total_impressions,total_clicks,conversion_count,conversion_rate,ctr_rate,avg_cpc,roi_percentage,campaign_status,target_segment,campaign_manager,ad_platform,test_variant,created_timestamp
21,Q3 SMS Blast 2024,SMS,2025-11-19,2026-01-14,6755.31,4033.48,215845.0,21647.0,523.0,2.42,10.03,0.19,,Paused,"VIP Customers, Mobile Users",Nicole Taylor,,,2025-11-11T00:00:00Z
22,Shopping Ads Campaign 2025,Search,2026-01-17,2026-04-08,50789.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Loyalty Members,Emily Rodriguez,Google Ads,,2026-01-14T00:00:00Z
23,Birthday Special Campaign 2025,Email,2025-05-04,2025-05-18,9331.79,1263.21,219124.0,12228.0,975.0,7.97,5.58,0.1,,Cancelled,"Homeowners, Fashion Forward",Chris Anderson,,,2025-04-21T00:00:00Z
24,Easter Social Campaign 2024,Social Media,2025-08-03,2025-09-10,74538.37,63303.44,4617958.0,137954.0,4874.0,3.53,2.99,0.46,1000.0,Completed,"Budget Conscious, Holiday Shoppers",Kevin Brown,LinkedIn,Control,2025-07-12T00:00:00Z
25,Spring Search Campaign 2024,Search,2025-07-09,2025-07-27,26054.31,23564.09,1564531.0,36834.0,2149.0,5.83,2.35,0.64,1000.0,Completed,"Newsletter Subscribers, Gen Z 18-24, Budget Conscious",Stephanie Davis,Google Ads,,2025-06-11T00:00:00Z
26,Native Advertising 2024,Display,2026-01-25,2026-02-10,22921.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Homeowners,David Kim,Google Ads,,2026-01-09T00:00:00Z
27,Fall Search Campaign 2023,Search,2025-03-13,2025-04-27,78947.44,77640.86,5681398.0,283732.0,16107.0,5.68,4.99,0.27,1000.0,Completed,"Lapsed Customers, Mobile Users, Weekend Browsers",Laura Garcia,Google Ads,,2025-02-13T00:00:00Z
28,Winter Search Campaign 2025,Search,2025-08-05,2025-10-02,45264.16,46655.35,5847314.0,263283.0,21531.0,8.18,4.5,0.18,1000.0,Completed,Desktop Users,Laura Garcia,Google Ads,,2025-07-13T00:00:00Z
29,Streaming TV Ads 2025,Video,2025-07-29,2025-10-15,47295.58,39153.55,2639129.0,38508.0,1058.0,2.75,1.46,1.02,690.22,Completed,First-Time Buyers,Emily Rodriguez,Meta Ads,,2025-07-11T00:00:00Z
30,Birthday Special Campaign 2024,Email,2025-02-17,2025-04-23,6012.24,5957.89,794546.0,11610.0,124.0,1.07,1.46,0.51,143.87,Completed,"Gen Z 18-24, Cart Abandoners",Jessica Martinez,,,2025-01-26T00:00:00Z
31,User Generated Content 2024,Social Media,2025-11-18,2026-01-03,4408.68,3468.22,252850.0,6833.0,244.0,3.57,2.7,0.51,360.43,Active,Tech Enthusiasts,Andrew Thompson,TikTok,,2025-10-27T00:00:00Z
32,Flash Sale Alert 2024,Email,2025-11-13,2026-01-13,4760.82,2847.69,172481.0,7331.0,263.0,3.59,4.25,0.39,967.29,Active,"Returning Customers, Fashion Forward, High LTV Customers",James Miller,,,2025-11-10T00:00:00Z
33,Local Search Campaign 2023,Search,2025-01-02,2025-01-31,13083.57,12298.37,696648.0,65306.0,1842.0,2.82,9.37,0.19,785.03,Completed,"Gen Z 18-24, Newsletter Subscribers",David Kim,Google Ads,,2024-12-20T00:00:00Z
34,Trending Topic Campaign 2024,Social Media,2025-11-27,2026-03-18,5176.71,1123.67,69277.0,801.0,32.0,4.0,1.16,1.4,350.92,Active,"Loyalty Members, High LTV Customers",Nicole Taylor,TikTok,,2025-11-05T00:00:00Z
35,Q4 Search Campaign 2023,Search,2025-09-06,2025-10-27,54819.96,52080.46,8561338.0,850007.0,61898.0,7.28,9.93,0.06,1000.0,Completed,"Frequent Buyers, Lapsed Customers",Jessica Martinez,Google Ads,,2025-08-28T00:00:00Z
36,Product Launch Announcement 2023,Email,2025-02-22,2025-03-10,6036.25,5195.28,490464.0,27641.0,1281.0,4.63,5.64,0.19,1000.0,Completed,Holiday Shoppers,Laura Garcia,,,2025-01-24T00:00:00Z
37,Anniversary Mailing 2023,Direct Mail,2025-12-01,2026-01-17,32195.41,16929.46,,,,,,,,Active,Premium Shoppers,Emily Rodriguez,,,2025-11-09T00:00:00Z
38,Valentine Email Blast 2023,Email,2025-06-13,2025-09-10,6118.87,5451.18,367396.0,25356.0,893.0,3.52,6.9,0.21,1000.0,Completed,"Returning Customers, Mobile Users",Chris Anderson,,,2025-05-14T00:00:00Z
39,Dynamic Search Ads 2025,Search,2025-09-12,2025-09-21,97102.55,17737.21,1292646.0,43866.0,3122.0,7.12,3.39,0.4,,Cancelled,"Premium Shoppers, Homeowners, Parents",Andrew Thompson,Google Ads,,2025-09-04T00:00:00Z
40,Product Display Ads 2025,Display,2025-11-26,2025-12-26,40358.7,36341.33,3299634.0,21709.0,711.0,3.28,0.66,1.67,,Paused,"High LTV Customers, First-Time Buyers",Brian Wilson,Google Ads,,2025-11-06T00:00:00Z
41,Brand Keywords Campaign 2025,Search,2025-12-17,2026-02-08,17720.02,2508.52,161083.0,13318.0,1257.0,9.44,8.27,0.19,1000.0,Active,Newsletter Subscribers,Laura Garcia,Google Ads,Control,2025-11-17T00:00:00Z
42,Cross-Network Display 2025,Display,2025-12-09,2026-03-17,9659.23,1599.02,234535.0,1728.0,70.0,4.05,0.74,0.93,,Paused,Premium Shoppers,Laura Garcia,Google Ads,,2025-11-18T00:00:00Z
43,Dynamic Search Ads 2023,Search,2025-05-28,2025-08-02,36274.41,37995.96,3494005.0,327912.0,24501.0,7.47,9.38,0.12,1000.0,Completed,"New Customers, Budget Conscious, Millennials 25-34",Sarah Johnson,Google Ads,,2025-05-21T00:00:00Z
44,Brand Awareness Drive 2024,Social Media,2025-07-27,2025-09-02,39039.11,36025.32,3781534.0,54634.0,1505.0,2.75,1.44,0.66,867.99,Completed,"Homeowners, Millennials 25-34",Brian Wilson,TikTok,,2025-07-16T00:00:00Z
45,Competitor Conquest 2024,Search,2025-03-02,2025-05-11,71404.85,61342.4,7739230.0,297055.0,12920.0,4.35,3.84,0.21,1000.0,Completed,Budget Conscious,Stephanie Davis,Google Ads,,2025-02-17T00:00:00Z
46,Memorial Day Email Blast 2025,Email,2025-11-14,2026-01-19,3536.69,1935.05,98296.0,7113.0,122.0,1.72,7.24,0.27,519.54,Active,VIP Customers,Andrew Thompson,,,2025-10-18T00:00:00Z
47,High Intent Keywords 2025,Search,2025-11-03,2026-01-09,66172.75,45659.55,3637506.0,109826.0,5498.0,5.01,3.02,0.42,,Paused,"Homeowners, New Customers, Social Followers",Laura Garcia,Google Ads,,2025-10-06T00:00:00Z
48,Remarketing Search 2024,Search,2026-02-01,2026-04-18,15666.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Premium Shoppers, High LTV Customers",Rachel Green,Google Ads,Variant B,2026-01-22T00:00:00Z
49,Shopping Ads Campaign 2023,Search,2025-06-27,2025-08-08,50607.3,41207.28,4294599.0,215810.0,16458.0,7.63,5.03,0.19,1000.0,Completed,Loyalty Members,Brian Wilson,Google Ads,,2025-06-21T00:00:00Z
50,Product Category Search 2024,Search,2025-11-05,2026-02-14,78784.76,41683.69,2297910.0,173571.0,3920.0,2.26,7.55,0.24,942.61,Active,"High LTV Customers, Newsletter Subscribers, Loyalty Members",Nicole Taylor,Google Ads,Variant B,2025-10-08T00:00:00Z
51,Remarketing Search 2023,Search,2025-05-20,2025-06-18,74273.55,63693.56,5482057.0,138157.0,8639.0,6.25,2.52,0.46,1000.0,Completed,Tech Enthusiasts,Kevin Brown,Google Ads,Variant A,2025-05-07T00:00:00Z
52,Brand Awareness Display 2025,Display,2025-04-02,2025-04-16,99725.74,102532.85,5823552.0,38974.0,947.0,2.43,0.67,2.63,150.95,Completed,"Desktop Users, Lapsed Customers, Returning Customers",Rachel Green,Google Ads,,2025-03-06T00:00:00Z
53,Q2 Social Push 2024,Social Media,2025-09-10,2025-11-16,77757.4,63231.02,6720367.0,71768.0,832.0,1.16,1.07,0.88,37.41,Completed,Mobile Users,David Kim,TikTok,,2025-08-15T00:00:00Z
54,New Customer Welcome Kit 2025,Direct Mail,2025-08-18,2025-08-31,19540.84,2314.34,,,,,,,,Cancelled,"Budget Conscious, Newsletter Subscribers",Brian Wilson,,,2025-07-29T00:00:00Z
55,Competitor Conquest 2025,Search,2025-12-10,2026-01-24,8728.73,2382.91,249223.0,15475.0,364.0,2.35,6.21,0.15,1000.0,Active,"VIP Customers, Millennials 25-34",Laura Garcia,Google Ads,,2025-12-05T00:00:00Z
56,Cyber Monday Social Campaign 2023,Social Media,2025-12-04,2026-02-02,29152.36,9335.12,1444796.0,29387.0,242.0,0.82,2.03,0.32,,Paused,Desktop Users,Kevin Brown,Meta Ads,,2025-11-12T00:00:00Z
57,Short Form Video 2023,Video,2025-12-15,2026-01-14,20963.54,6734.23,802261.0,6339.0,147.0,2.32,0.79,1.06,476.04,Active,"Parents, Loyalty Members",David Kim,Google Ads,Variant A,2025-11-17T00:00:00Z
58,Fall Newsletter Campaign 2023,Email,2025-03-06,2025-04-03,3177.4,2862.62,162305.0,9440.0,288.0,3.05,5.82,0.3,620.79,Completed,"Premium Shoppers, Lapsed Customers, Homeowners",Brian Wilson,,,2025-02-06T00:00:00Z
59,Retargeting Display 2024,Display,2026-01-14,2026-02-08,15888.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Loyalty Members, Homeowners, Cart Abandoners",Sarah Johnson,Meta Ads,,2025-12-18T00:00:00Z
60,VIP Early Access SMS 2025,SMS,2025-11-26,2026-01-15,8176.84,4175.59,392678.0,47268.0,3121.0,6.6,12.04,0.09,1000.0,Active,"Email Engaged, Holiday Shoppers, Weekend Browsers",Brian Wilson,,,2025-11-07T00:00:00Z
61,Local Search Campaign 2024,Search,2025-11-01,2026-01-28,55598.0,34942.9,6510430.0,646158.0,17573.0,2.72,9.92,0.05,1000.0,Active,"Mobile Users, Desktop Users",Brian Wilson,Google Ads,,2025-10-14T00:00:00Z
62,Prime Day Email Blast 2024,Email,2025-04-16,2025-05-26,4057.59,3810.67,359803.0,22151.0,446.0,2.01,6.16,0.17,1000.0,Completed,VIP Customers,Amanda Lee,,,2025-04-01T00:00:00Z
63,User Generated Content 2023,Social Media,2025-05-25,2025-06-22,70375.79,7904.09,907412.0,17101.0,838.0,4.9,1.88,0.46,,Cancelled,"Desktop Users, Newsletter Subscribers",Kevin Brown,TikTok,,2025-04-25T00:00:00Z
64,YouTube Pre-Roll 2024,Video,2026-01-28,2026-03-18,5213.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"New Customers, Tech Enthusiasts, Mobile Users",Emily Rodriguez,TikTok,,2026-01-01T00:00:00Z
65,Back to School Video Push 2023,Video,2025-11-02,2026-02-21,97828.83,38057.3,2369216.0,31083.0,786.0,2.53,1.31,1.22,377.37,Active,"Weekend Browsers, Loyalty Members, Millennials 25-34",James Miller,TikTok,,2025-10-14T00:00:00Z
66,Labor Day SMS Deals 2024,SMS,2026-03-14,2026-04-10,1235.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Gen Z 18-24,Emily Rodriguez,,,2026-03-06T00:00:00Z
67,High Intent Keywords 2024,Search,2025-04-30,2025-06-01,95396.13,96198.23,6357318.0,409480.0,16255.0,3.97,6.44,0.23,1000.0,Completed,"Email Engaged, Cart Abandoners, Loyalty Members",Laura Garcia,Google Ads,,2025-04-12T00:00:00Z
68,Summer Newsletter Campaign 2025,Email,2025-12-28,2026-01-12,6837.72,571.01,41189.0,2602.0,122.0,4.69,6.32,0.22,,Cancelled,Holiday Shoppers,David Kim,,,2025-12-01T00:00:00Z
69,Spring Newsletter Campaign 2023,Email,2025-01-26,2025-03-09,8344.63,7538.22,675058.0,23365.0,1413.0,6.05,3.46,0.32,1000.0,Completed,"Returning Customers, Mobile Users, Holiday Shoppers",Emily Rodriguez,,,2024-12-28T00:00:00Z
70,Social Video Ads 2024,Video,2024-12-05,2025-03-01,43364.78,37454.37,3326875.0,29036.0,1089.0,3.75,0.87,1.29,752.56,Completed,Gen Z 18-24,Laura Garcia,Meta Ads,,2024-11-11T00:00:00Z
71,Q2 Search Campaign 2023,Search,2025-12-14,2026-02-25,80909.56,11797.29,716306.0,59169.0,2000.0,3.38,8.26,0.2,1000.0,Active,"Frequent Buyers, Cart Abandoners",Andrew Thompson,Google Ads,Variant A,2025-12-08T00:00:00Z
72,Influencer Partnership 2025,Social Media,2025-11-29,2026-03-02,88129.71,25833.27,2182365.0,22478.0,664.0,2.95,1.03,1.15,345.38,Active,"Newsletter Subscribers, Social Followers, Premium Shoppers",Nicole Taylor,Instagram,Control,2025-11-05T00:00:00Z
73,Loyalty Rewards Email 2025,Email,2026-01-22,2026-02-20,2257.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Gen Z 18-24, Holiday Shoppers, Lapsed Customers",James Miller,,,2026-01-09T00:00:00Z
74,Back to School Social Campaign 2025,Social Media,2026-01-17,2026-02-01,93061.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Frequent Buyers,David Kim,TikTok,,2026-01-12T00:00:00Z
75,Valentine Search Push 2025,Search,2025-11-06,2026-01-14,3130.34,1968.94,367485.0,8421.0,398.0,4.73,2.29,0.23,1000.0,Active,"High LTV Customers, Email Engaged, Returning Customers",Nicole Taylor,Google Ads,,2025-11-01T00:00:00Z
76,Q2 Video Campaign 2024,Video,2025-06-23,2025-07-28,46850.79,47697.99,2388577.0,28072.0,786.0,2.8,1.18,1.7,132.54,Completed,"Returning Customers, Homeowners",Laura Garcia,Google Ads,Control,2025-06-18T00:00:00Z
77,Black Friday Email Blast 2024,Email,2025-08-15,2025-09-15,6799.86,5943.92,957788.0,30429.0,1019.0,3.35,3.18,0.2,1000.0,Completed,"High LTV Customers, Homeowners",David Kim,,,2025-07-19T00:00:00Z
78,Winter Video Campaign 2023,Video,2026-03-20,2026-05-12,53169.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Holiday Shoppers, VIP Customers, Cart Abandoners",Amanda Lee,TikTok,,2026-03-05T00:00:00Z
79,Flash Sale Alert 2025,Email,2025-09-06,2025-11-08,5212.29,4379.64,613623.0,26376.0,2058.0,7.8,4.3,0.17,1000.0,Completed,Frequent Buyers,Emily Rodriguez,,Variant B,2025-09-01T00:00:00Z
80,Easter Video Push 2024,Video,2025-02-10,2025-03-04,75634.85,62771.96,4202026.0,100013.0,3641.0,3.64,2.38,0.63,860.69,Completed,"Lapsed Customers, Desktop Users",Emily Rodriguez,Google Ads,Control,2025-01-29T00:00:00Z
81,Weekly Deals Newsletter 2025,Email,2025-12-11,2026-02-09,6455.16,1567.49,165890.0,4645.0,288.0,6.2,2.8,0.34,844.21,Active,Returning Customers,Emily Rodriguez,,Variant A,2025-11-23T00:00:00Z
82,Programmatic Display 2024,Display,2025-11-30,2026-01-16,26477.06,4835.04,774937.0,4556.0,48.0,1.05,0.59,1.06,,Cancelled,"Cart Abandoners, Homeowners",David Kim,Google Ads,,2025-11-12T00:00:00Z
83,Social Proof Campaign 2024,Social Media,2025-08-04,2025-09-28,88574.27,82844.69,13637730.0,166711.0,5997.0,3.6,1.22,0.5,419.09,Completed,"Parents, Loyalty Members, Millennials 25-34",Laura Garcia,TikTok,,2025-07-22T00:00:00Z
84,Cross-Network Display 2023,Display,2025-08-17,2025-09-06,24103.69,20026.04,1424368.0,4188.0,77.0,1.84,0.29,4.78,-54.77,Completed,"Holiday Shoppers, Gen Z 18-24",Sarah Johnson,Meta Ads,,2025-08-03T00:00:00Z
85,Abandoned Cart Recovery 2023,Email,2025-02-13,2025-03-10,4678.41,4472.6,275316.0,19066.0,238.0,1.25,6.93,0.23,429.71,Completed,"Returning Customers, Weekend Browsers",Jessica Martinez,,,2025-01-21T00:00:00Z
86,Social Video Ads 2025,Video,2025-11-19,2026-01-05,98656.86,77227.1,6408923.0,54200.0,428.0,0.79,0.85,1.42,,Paused,Mobile Users,Amanda Lee,TikTok,,2025-10-29T00:00:00Z
87,Restock Alert SMS 2024,SMS,2026-03-25,2026-04-28,654.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Lapsed Customers,James Miller,,Variant B,2026-03-11T00:00:00Z
88,Q2 Social Push 2023,Social Media,2025-09-04,2025-12-01,16286.3,15641.68,917175.0,6021.0,257.0,4.27,0.66,2.6,311.24,Completed,"Newsletter Subscribers, Desktop Users, Parents",Laura Garcia,Instagram,,2025-08-29T00:00:00Z
89,Winter Newsletter Campaign 2023,Email,2025-11-09,2026-02-10,5344.13,2890.6,265897.0,5121.0,389.0,7.6,1.93,0.56,1000.0,Active,"Email Engaged, Budget Conscious, First-Time Buyers",Jessica Martinez,,,2025-10-12T00:00:00Z
90,New Arrivals Newsletter 2023,Email,2025-11-23,2026-01-17,9109.5,5547.67,685032.0,24195.0,728.0,3.01,3.53,0.23,798.04,Active,Tech Enthusiasts,Brian Wilson,,,2025-11-07T00:00:00Z
91,Fall Social Push 2023,Social Media,2025-01-20,2025-02-22,63547.52,63708.32,3838307.0,21498.0,940.0,4.37,0.56,2.96,310.87,Completed,"Parents, Mobile Users",Chris Anderson,Instagram,,2024-12-24T00:00:00Z
92,Customer Win-Back Email 2025,Email,2025-03-25,2025-04-06,5255.53,464.95,80425.0,4844.0,177.0,3.65,6.02,0.1,,Cancelled,"Parents, Homeowners",Jessica Martinez,,,2025-03-09T00:00:00Z
93,Dynamic Search Ads 2024,Search,2025-07-13,2025-10-04,4018.77,3882.98,268346.0,17770.0,887.0,4.99,6.62,0.22,1000.0,Completed,VIP Customers,Rachel Green,Google Ads,,2025-06-24T00:00:00Z
94,Brand Keywords Campaign 2024,Search,2025-12-04,2026-02-24,94034.85,20898.96,1248897.0,71616.0,4530.0,6.33,5.73,0.29,1000.0,Active,First-Time Buyers,Jessica Martinez,Google Ads,,2025-11-10T00:00:00Z
95,Spring Catalog Mailing 2023,Direct Mail,2025-11-02,2025-12-29,31312.97,24472.46,,,,,,,,Paused,Homeowners,Amanda Lee,,,2025-10-18T00:00:00Z
96,Shopping Ads Campaign 2024,Search,2025-02-14,2025-04-18,90095.24,81880.65,4681235.0,243482.0,19108.0,7.85,5.2,0.34,1000.0,Completed,Weekend Browsers,Nicole Taylor,Google Ads,,2025-02-04T00:00:00Z
97,Contextual Targeting 2023,Display,2025-07-13,2025-09-22,17517.02,14088.5,1844287.0,9614.0,440.0,4.58,0.52,1.47,255.87,Completed,Holiday Shoppers,Chris Anderson,Meta Ads,,2025-07-04T00:00:00Z
98,Black Friday Video Push 2023,Video,2025-06-17,2025-06-30,79701.32,10151.47,947386.0,11865.0,155.0,1.31,1.25,0.86,,Cancelled,"Mobile Users, Budget Conscious, First-Time Buyers",Nicole Taylor,Meta Ads,,2025-05-19T00:00:00Z
99,Q4 Social Push 2025,Social Media,2026-03-05,2026-04-19,83305.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Desktop Users,Brian Wilson,Meta Ads,,2026-02-17T00:00:00Z
100,User Generated Content 2025,Social Media,2025-11-12,2026-02-18,43026.04,20152.85,2710633.0,14956.0,569.0,3.8,0.55,1.35,45.05,Active,"New Customers, Returning Customers",James Miller,LinkedIn,,2025-10-20T00:00:00Z
