campaign_ref,campaign_title,channel_type,launch_date,completion_date,allocated_budget,current_spend,total_impressions,total_clicks,conversion_count,conversion_rate,ctr_rate,avg_cpc,roi_percentage,campaign_status,target_segment,campaign_manager,ad_platform,test_variant,created_timestamp
13,Streaming TV Ads 2024,Video,2025-10-15,2025-11-26,3371.86,2987.93,199380.0,4713.0,103.0,2.19,2.36,0.63,747.96,Completed,"Tech Enthusiasts, Newsletter Subscribers, Cart Abandoners",David Kim,TikTok,,2025-10-07T00:00:00Z
14,Product Category Search 2024,Search,2025-01-24,2025-04-03,18583.76,18959.13,1195097.0,64030.0,5564.0,8.69,5.36,0.3,1000.0,Completed,"Parents, First-Time Buyers",Amanda Lee,Google Ads,Control,2025-01-03T00:00:00Z
15,Holiday Social Campaign 2024,Social Media,2025-09-29,2025-10-16,55690.09,45689.82,3403608.0,64163.0,846.0,1.32,1.89,0.71,145.36,Completed,"Weekend Browsers, Desktop Users, Fashion Forward",Michael Chen,Instagram,,2025-09-04T00:00:00Z
16,Fall Search Campaign 2023,Search,2025-02-16,2025-03-29,25606.52,23780.0,1303554.0,38087.0,2601.0,6.83,2.92,0.62,1000.0,Completed,"Parents, Loyalty Members",Nicole Taylor,Google Ads,,2025-01-25T00:00:00Z
17,Product Category Search 2025,Search,2026-01-13,2026-04-07,8298.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Loyalty Members, Gen Z 18-24",Michael Chen,Google Ads,Control,2026-01-01T00:00:00Z
18,Flash Sale Alert 2025,Email,2026-02-18,2026-03-16,8382.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Frequent Buyers, Mobile Users",Emily Rodriguez,,,2026-02-13T00:00:00Z
19,Product Category Search 2023,Search,2025-04-13,2025-07-07,55381.96,49148.67,3574237.0,112022.0,3268.0,2.92,3.13,0.44,969.55,Completed,"Newsletter Subscribers, Loyalty Members, Fashion Forward",Brian Wilson,Google Ads,,2025-04-08T00:00:00Z
20,Brand Story Video 2025,Video,2025-12-10,2026-03-24,78226.3,11893.21,656792.0,15573.0,247.0,1.59,2.37,0.76,,Paused,"Gen Z 18-24, Millennials 25-34, Mobile Users",Brian Wilson,Google Ads,,2025-11-19T00:00:00Z
21,Product Showcase Social 2025,Social Media,2025-08-03,2025-10-06,63828.04,60197.22,4945154.0,65307.0,1084.0,1.66,1.32,0.92,27.17,Completed,"Parents, Mobile Users",Stephanie Davis,LinkedIn,,2025-07-16T00:00:00Z
22,Community Engagement 2023,Social Media,2025-01-10,2025-03-22,17554.43,15574.47,2433178.0,19798.0,432.0,2.18,0.81,0.79,588.05,Completed,Millennials 25-34,Sarah Johnson,Instagram,,2024-12-23T00:00:00Z
23,Programmatic Display 2024,Display,2025-03-10,2025-05-18,71205.04,73926.33,8864661.0,84978.0,3520.0,4.14,0.96,0.87,843.94,Completed,First-Time Buyers,Rachel Green,Google Ads,,2025-02-24T00:00:00Z
24,Dynamic Search Ads 2025,Search,2025-11-17,2025-12-30,63410.35,53220.26,3729067.0,225468.0,8670.0,3.85,6.05,0.24,1000.0,Active,Email Engaged,Stephanie Davis,Google Ads,,2025-10-18T00:00:00Z
25,Social Proof Campaign 2023,Social Media,2025-11-05,2026-01-09,65682.58,47163.86,2780431.0,14696.0,567.0,3.86,0.53,3.21,76.6,Active,Millennials 25-34,Kevin Brown,LinkedIn,,2025-10-15T00:00:00Z
26,Anniversary Mailing 2023,Direct Mail,2025-11-02,2026-01-12,28551.35,21826.25,,,,,,,,Active,"Fashion Forward, Tech Enthusiasts",James Miller,,,2025-10-09T00:00:00Z
27,Cyber Monday Banner Ads 2023,Display,2025-10-12,2025-12-14,96163.45,95442.98,11046025.0,54808.0,1474.0,2.69,0.5,1.74,287.2,Completed,"Cart Abandoners, Budget Conscious",Chris Anderson,Meta Ads,,2025-09-15T00:00:00Z
28,YouTube Pre-Roll 2024,Video,2025-03-28,2025-04-06,77371.86,6795.73,687679.0,13776.0,672.0,4.88,2.0,0.49,,Cancelled,Weekend Browsers,Stephanie Davis,Meta Ads,,2025-03-09T00:00:00Z
29,Fall Social Push 2023,Social Media,2025-11-14,2026-01-05,33599.94,24269.6,1596609.0,12395.0,303.0,2.44,0.78,1.96,,Paused,"Newsletter Subscribers, Budget Conscious",Michael Chen,TikTok,,2025-10-18T00:00:00Z
30,Social Proof Campaign 2025,Social Media,2025-07-24,2025-08-29,9621.67,9587.3,737165.0,10895.0,96.0,0.88,1.48,0.88,-49.31,Completed,"Lapsed Customers, Cart Abandoners, Desktop Users",Michael Chen,TikTok,,2025-07-21T00:00:00Z
31,Community Engagement 2025,Social Media,2025-12-01,2026-02-18,28629.84,7454.99,387518.0,6735.0,128.0,1.9,1.74,1.11,398.88,Active,First-Time Buyers,David Kim,LinkedIn,,2025-11-10T00:00:00Z
32,Fall Newsletter Campaign 2024,Email,2024-11-18,2025-01-12,7747.35,7874.68,742263.0,25622.0,564.0,2.2,3.45,0.31,1000.0,Completed,Frequent Buyers,Kevin Brown,,Variant B,2024-11-11T00:00:00Z
33,Brand Keywords Campaign 2024,Search,2025-05-29,2025-07-07,54444.8,43754.86,3953618.0,237105.0,6330.0,2.67,6.0,0.18,634.81,Completed,"Parents, High LTV Customers",Andrew Thompson,Google Ads,,2025-05-03T00:00:00Z
34,Loyalty Mailer 2024,Direct Mail,2025-10-07,2025-11-14,46171.19,47310.11,,,,,,,,Completed,Homeowners,Stephanie Davis,,,2025-09-28T00:00:00Z
35,Remarketing Search 2025,Search,2024-11-16,2025-01-03,27813.17,25247.17,4866687.0,339382.0,26938.0,7.94,6.97,0.07,1000.0,Completed,Fashion Forward,Sarah Johnson,Google Ads,,2024-10-19T00:00:00Z
36,User Generated Content 2023,Social Media,2025-12-10,2026-02-09,45796.0,10746.01,858041.0,24580.0,1134.0,4.61,2.86,0.44,1000.0,Active,Tech Enthusiasts,Brian Wilson,TikTok,,2025-11-25T00:00:00Z
37,Q3 Social Push 2023,Social Media,2025-11-12,2026-01-19,32831.96,22259.88,1176413.0,17295.0,474.0,2.74,1.47,1.29,,Paused,"Millennials 25-34, High LTV Customers, Homeowners",Michael Chen,Meta Ads,,2025-10-16T00:00:00Z
38,Spring Social Push 2025,Social Media,2026-01-08,2026-03-25,65378.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Mobile Users, Loyalty Members",Stephanie Davis,LinkedIn,,2025-12-24T00:00:00Z
39,Programmatic Display 2025,Display,2025-11-30,2026-02-22,14451.94,3460.58,237371.0,280.0,8.0,2.86,0.12,12.36,-67.29,Active,"High LTV Customers, Loyalty Members, Weekend Browsers",Amanda Lee,Google Ads,,2025-11-06T00:00:00Z
40,Trending Topic Campaign 2025,Social Media,2025-05-29,2025-06-23,62213.74,10678.59,851459.0,8080.0,391.0,4.84,0.95,1.32,,Cancelled,"Cart Abandoners, High LTV Customers, Fashion Forward",Emily Rodriguez,Meta Ads,,2025-05-08T00:00:00Z
41,Event Reminder SMS 2024,SMS,2025-08-20,2025-09-07,5139.55,4431.98,756385.0,61319.0,7123.0,11.62,8.11,0.07,1000.0,Completed,"Loyalty Members, Cart Abandoners",Sarah Johnson,,,2025-07-25T00:00:00Z
42,Winter Display Ads 2023,Display,2025-11-19,2026-01-09,61985.34,41617.9,2996922.0,28120.0,546.0,1.94,0.94,1.48,242.68,Active,First-Time Buyers,Stephanie Davis,Google Ads,,2025-11-06T00:00:00Z
43,Audience Display Campaign 2023,Display,2026-03-24,2026-04-14,51323.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,VIP Customers,Kevin Brown,Google Ads,,2026-03-01T00:00:00Z
44,Q4 Social Push 2025,Social Media,2025-08-05,2025-09-17,18213.38,17549.37,1391054.0,13978.0,288.0,2.06,1.0,1.26,334.5,Completed,Gen Z 18-24,Kevin Brown,LinkedIn,,2025-07-28T00:00:00Z
45,New Arrivals Newsletter 2023,Email,2025-12-04,2026-03-19,4609.92,930.77,143742.0,9264.0,490.0,5.29,6.44,0.1,1000.0,Active,"VIP Customers, Parents",James Miller,,,2025-11-22T00:00:00Z
46,Product Display Ads 2024,Display,2025-12-15,2026-03-04,83532.37,11260.55,585878.0,3666.0,114.0,3.11,0.63,3.07,105.16,Active,"Loyalty Members, High LTV Customers",Stephanie Davis,Google Ads,,2025-12-10T00:00:00Z
47,Brand Awareness Drive 2023,Social Media,2024-12-29,2025-02-17,31132.09,30580.64,2119479.0,44646.0,2170.0,4.86,2.11,0.68,316.39,Completed,"Parents, Social Followers, Tech Enthusiasts",Rachel Green,Instagram,,2024-12-10T00:00:00Z
48,YouTube Pre-Roll 2025,Video,2025-11-16,2026-02-20,2843.02,1088.42,188303.0,1018.0,41.0,4.03,0.54,1.07,685.87,Active,"Millennials 25-34, Premium Shoppers",Rachel Green,Google Ads,,2025-11-06T00:00:00Z
49,Brand Keywords Campaign 2023,Search,2025-12-18,2026-03-26,43906.32,3087.58,204006.0,13795.0,306.0,2.22,6.76,0.22,1000.0,Active,"Returning Customers, Fashion Forward, Mobile Users",Nicole Taylor,Google Ads,,2025-11-30T00:00:00Z
50,Testimonial Videos 2024,Video,2024-11-22,2024-12-26,60967.5,60457.54,3270333.0,43525.0,1925.0,4.42,1.33,1.39,841.41,Completed,"Social Followers, Parents, Homeowners",Andrew Thompson,TikTok,,2024-11-13T00:00:00Z
51,Q4 Search Campaign 2023,Search,2025-08-07,2025-10-26,27632.31,22505.94,1145972.0,96395.0,8673.0,9.0,8.41,0.23,1000.0,Completed,"Premium Shoppers, Parents, Budget Conscious",Chris Anderson,Google Ads,,2025-07-08T00:00:00Z
52,Easter Email Blast 2024,Email,2025-01-21,2025-02-03,6997.21,434.16,59870.0,1117.0,78.0,6.98,1.87,0.39,,Cancelled,"Newsletter Subscribers, Tech Enthusiasts",Andrew Thompson,,,2025-01-15T00:00:00Z
53,User Generated Content 2025,Social Media,2025-12-15,2026-01-26,56263.61,11778.16,603838.0,3263.0,70.0,2.15,0.54,3.61,58.24,Active,Cart Abandoners,Kevin Brown,LinkedIn,,2025-11-23T00:00:00Z
54,Black Friday Social Campaign 2024,Social Media,2025-12-08,2026-02-05,8978.47,2473.88,130943.0,2030.0,74.0,3.65,1.55,1.22,308.71,Active,"Fashion Forward, Lapsed Customers",Brian Wilson,Meta Ads,,2025-12-03T00:00:00Z
55,Social Contest Campaign 2023,Social Media,2025-09-02,2025-09-27,74857.33,10947.93,705401.0,21014.0,121.0,0.58,2.98,0.52,,Cancelled,Budget Conscious,Andrew Thompson,Meta Ads,,2025-08-15T00:00:00Z
56,Social Proof Campaign 2024,Social Media,2025-11-06,2026-02-28,81300.93,32414.27,4939117.0,60252.0,1758.0,2.92,1.22,0.54,,Paused,Homeowners,Amanda Lee,Meta Ads,,2025-10-09T00:00:00Z
57,High Intent Keywords 2024,Search,2025-02-19,2025-04-03,22349.23,21883.65,1162061.0,73794.0,2818.0,3.82,6.35,0.3,1000.0,Completed,"Desktop Users, Holiday Shoppers",Emily Rodriguez,Google Ads,,2025-01-28T00:00:00Z
58,Winter Display Ads 2024,Display,2025-06-13,2025-08-28,17908.03,18272.83,2412362.0,13072.0,221.0,1.69,0.54,1.4,165.58,Completed,"Weekend Browsers, Mobile Users, VIP Customers",Kevin Brown,Google Ads,,2025-05-25T00:00:00Z
59,New Customer Welcome Kit 2025,Direct Mail,2025-09-27,2025-11-07,36737.51,35842.02,,,,,,,,Completed,"Parents, Weekend Browsers",Kevin Brown,,,2025-09-13T00:00:00Z
60,Q4 Social Push 2024,Social Media,2025-12-07,2026-02-07,65052.45,16288.79,2026350.0,29640.0,902.0,3.04,1.46,0.55,647.65,Active,"Millennials 25-34, Email Engaged, Lapsed Customers",Jessica Martinez,Instagram,,2025-11-23T00:00:00Z
61,Cross-Network Display 2024,Display,2025-06-01,2025-07-14,62329.76,56677.96,5987310.0,8373.0,277.0,3.31,0.14,6.77,-15.76,Completed,"Holiday Shoppers, Frequent Buyers, Desktop Users",David Kim,Meta Ads,,2025-05-29T00:00:00Z
62,Product Display Ads 2023,Display,2025-07-06,2025-07-18,4132.24,690.16,48526.0,458.0,13.0,2.84,0.94,1.51,,Cancelled,"Fashion Forward, Desktop Users",David Kim,Google Ads,,2025-07-01T00:00:00Z
63,Flash Sale SMS 2023,SMS,2026-02-13,2026-03-17,2822.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Email Engaged,Rachel Green,,,2026-01-18T00:00:00Z
64,Winter Search Campaign 2025,Search,2025-11-07,2026-01-20,72657.5,43799.7,4272048.0,310234.0,13350.0,4.3,7.26,0.14,1000.0,Active,"Social Followers, VIP Customers",Michael Chen,Google Ads,,2025-10-18T00:00:00Z
65,Shopping Ads Campaign 2023,Search,2025-12-08,2026-03-05,89643.03,16520.53,2411676.0,219373.0,21350.0,9.73,9.1,0.08,1000.0,Active,"Gen Z 18-24, Frequent Buyers, VIP Customers",David Kim,Google Ads,,2025-12-01T00:00:00Z
66,Streaming TV Ads 2023,Video,2026-01-23,2026-02-24,58214.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Loyalty Members,Rachel Green,Google Ads,,2026-01-09T00:00:00Z
67,Product Showcase Social 2023,Social Media,2025-01-04,2025-02-28,28838.39,27078.52,1420730.0,37677.0,954.0,2.53,2.65,0.72,192.17,Completed,"Parents, Homeowners, Newsletter Subscribers",Jessica Martinez,TikTok,,2024-12-26T00:00:00Z
68,Back to School Social Campaign 2024,Social Media,2025-08-20,2025-09-06,23248.6,1580.23,296158.0,8016.0,346.0,4.32,2.71,0.2,,Cancelled,"Holiday Shoppers, Social Followers",Jessica Martinez,TikTok,,2025-08-11T00:00:00Z
69,Dynamic Search Ads 2023,Search,2025-01-02,2025-02-16,90272.42,78979.13,4891994.0,255962.0,9495.0,3.71,5.23,0.31,892.21,Completed,"New Customers, Tech Enthusiasts, Millennials 25-34",Andrew Thompson,Google Ads,,2024-12-07T00:00:00Z
70,New Arrivals Newsletter 2024,Email,2025-03-17,2025-05-19,5772.81,5803.5,810339.0,25724.0,889.0,3.46,3.17,0.23,1000.0,Completed,"Tech Enthusiasts, Millennials 25-34, First-Time Buyers",Emily Rodriguez,,,2025-03-02T00:00:00Z
71,Fall Display Ads 2025,Display,2025-06-27,2025-07-28,27754.98,25644.63,1958569.0,17152.0,557.0,3.25,0.88,1.5,385.95,Completed,"Email Engaged, Gen Z 18-24",Brian Wilson,Google Ads,,2025-06-24T00:00:00Z
72,Win-Back Mailer 2025,Direct Mail,2025-09-21,2025-09-28,34612.32,5080.41,,,,,,,,Cancelled,VIP Customers,Andrew Thompson,,,2025-08-28T00:00:00Z
73,Limited Time Offer SMS 2024,SMS,2025-04-09,2025-05-28,1669.18,1566.44,104901.0,8134.0,525.0,6.45,7.75,0.19,1000.0,Completed,"Social Followers, Tech Enthusiasts",Sarah Johnson,,,2025-03-22T00:00:00Z
74,Social Video Ads 2024,Video,2025-12-07,2026-03-22,40930.15,7500.69,1193172.0,26556.0,713.0,2.68,2.23,0.28,1000.0,Active,"Lapsed Customers, Holiday Shoppers, Budget Conscious",Rachel Green,Meta Ads,,2025-11-16T00:00:00Z
75,YouTube Pre-Roll 2023,Video,2025-12-07,2026-01-10,92675.5,42847.78,2747113.0,15375.0,225.0,1.46,0.56,2.79,-24.34,Active,"Homeowners, Frequent Buyers",Brian Wilson,Meta Ads,,2025-11-11T00:00:00Z
76,Product Demo Videos 2023,Video,2026-03-06,2026-03-25,48171.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,New Customers,Amanda Lee,TikTok,,2026-02-12T00:00:00Z
77,Back to School Video Push 2025,Video,2024-12-16,2025-02-20,25877.73,25517.04,2148071.0,35470.0,1392.0,3.92,1.65,0.72,679.64,Completed,Holiday Shoppers,Jessica Martinez,Meta Ads,,2024-12-11T00:00:00Z
78,Remarketing Search 2023,Search,2025-05-27,2025-08-16,41672.55,36327.77,2156237.0,105391.0,5753.0,5.46,4.89,0.34,1000.0,Completed,"New Customers, Holiday Shoppers",Kevin Brown,Google Ads,Variant A,2025-05-23T00:00:00Z
79,Tutorial Video Ads 2023,Video,2025-11-09,2026-03-09,53908.24,16972.37,896450.0,6364.0,134.0,2.11,0.71,2.67,52.24,Active,"Email Engaged, Holiday Shoppers, Loyalty Members",Amanda Lee,TikTok,,2025-10-30T00:00:00Z
80,Trending Topic Campaign 2024,Social Media,2025-03-22,2025-05-01,85162.68,73349.52,3777758.0,26385.0,693.0,2.63,0.7,2.78,-7.79,Completed,"VIP Customers, Frequent Buyers, Desktop Users",Kevin Brown,LinkedIn,Control,2025-03-17T00:00:00Z
81,Q2 Search Campaign 2024,Search,2025-07-03,2025-07-17,5851.9,4742.74,375696.0,34160.0,2831.0,8.29,9.09,0.14,1000.0,Completed,"Parents, Tech Enthusiasts",Nicole Taylor,Google Ads,Control,2025-06-13T00:00:00Z
82,Birthday SMS Special 2025,SMS,2025-12-12,2026-02-19,1531.54,292.33,27027.0,1548.0,153.0,9.88,5.73,0.19,,Paused,"Mobile Users, New Customers",Rachel Green,,,2025-11-18T00:00:00Z
83,Product Demo Videos 2024,Video,2025-12-01,2026-02-15,47306.03,15608.92,2812901.0,39967.0,1442.0,3.61,1.42,0.39,491.02,Active,Newsletter Subscribers,Rachel Green,Google Ads,Variant B,2025-11-11T00:00:00Z
84,Spring Social Push 2023,Social Media,2025-11-01,2026-01-21,83788.53,49594.64,2604304.0,70949.0,992.0,1.4,2.72,0.7,135.7,Active,"Mobile Users, Gen Z 18-24",Laura Garcia,Instagram,,2025-10-29T00:00:00Z
85,Brand Story Video 2024,Video,2025-12-05,2026-02-17,93303.71,26813.14,2147868.0,28585.0,612.0,2.14,1.33,0.94,,Paused,"Frequent Buyers, Mobile Users",Jessica Martinez,Google Ads,,2025-11-13T00:00:00Z
86,Year End Search Push 2025,Search,2024-12-26,2025-01-30,47546.45,45968.51,5924486.0,366385.0,31020.0,8.47,6.18,0.13,1000.0,Completed,"Premium Shoppers, Gen Z 18-24, Cart Abandoners",Amanda Lee,Google Ads,,2024-12-22T00:00:00Z
87,Restock Alert SMS 2025,SMS,2025-11-21,2026-02-05,7235.35,3480.21,374619.0,50023.0,4065.0,8.13,13.35,0.07,1000.0,Active,Holiday Shoppers,Chris Anderson,,,2025-11-13T00:00:00Z
88,Black Friday Social Campaign 2023,Social Media,2025-12-09,2026-01-25,59671.31,20215.0,3668279.0,35966.0,1442.0,4.01,0.98,0.56,823.76,Active,New Customers,Jessica Martinez,Instagram,,2025-11-13T00:00:00Z
89,Q1 Newsletter Campaign 2023,Email,2025-06-19,2025-07-08,2935.45,250.03,13784.0,318.0,10.0,3.14,2.31,0.79,,Cancelled,First-Time Buyers,Stephanie Davis,,,2025-06-15T00:00:00Z
90,Shopping Ads Campaign 2025,Search,2025-11-15,2026-03-12,78437.74,28617.84,1442080.0,117335.0,6442.0,5.49,8.14,0.24,1000.0,Active,"Tech Enthusiasts, Gen Z 18-24, Social Followers",Nicole Taylor,Google Ads,,2025-10-17T00:00:00Z
91,Spring Display Ads 2025,Display,2025-11-13,2026-03-10,33115.49,12694.99,2073307.0,5599.0,155.0,2.77,0.27,2.27,,Paused,"VIP Customers, Newsletter Subscribers, Gen Z 18-24",Stephanie Davis,Meta Ads,,2025-11-05T00:00:00Z
92,Win-Back Mailer 2024,Direct Mail,2025-02-09,2025-03-03,39658.75,7885.67,,,,,,,,Cancelled,Budget Conscious,Kevin Brown,,,2025-02-01T00:00:00Z
93,Spring Social Push 2024,Social Media,2025-09-04,2025-12-03,81613.46,81569.35,10375393.0,70685.0,1800.0,2.55,0.68,1.15,262.93,Completed,"VIP Customers, Frequent Buyers, Fashion Forward",David Kim,Instagram,,2025-08-28T00:00:00Z
94,Brand Awareness Display 2023,Display,2025-04-08,2025-05-25,80499.31,73755.04,8590268.0,21984.0,911.0,4.14,0.26,3.35,70.74,Completed,"Parents, High LTV Customers, Cart Abandoners",Sarah Johnson,Google Ads,,2025-03-30T00:00:00Z
95,Brand Awareness Drive 2024,Social Media,2025-10-27,2026-02-01,73626.94,43408.28,4097969.0,21725.0,882.0,4.06,0.53,2.0,361.11,Active,"Cart Abandoners, Newsletter Subscribers",Emily Rodriguez,Instagram,,2025-10-24T00:00:00Z
96,Local Search Campaign 2024,Search,2025-03-21,2025-05-25,63381.01,50762.89,3288214.0,110328.0,6502.0,5.89,3.36,0.46,1000.0,Completed,Premium Shoppers,Kevin Brown,Google Ads,,2025-03-11T00:00:00Z
97,Product Launch Announcement 2025,Email,2025-12-08,2026-03-08,7786.64,1260.54,79824.0,5200.0,292.0,5.62,6.51,0.24,1000.0,Active,"Returning Customers, Lapsed Customers",Amanda Lee,,,2025-11-29T00:00:00Z
98,Influencer Partnership 2023,Social Media,2025-10-15,2025-11-16,55760.1,50880.29,5686993.0,80899.0,839.0,1.04,1.42,0.63,144.1,Completed,Returning Customers,Amanda Lee,Instagram,,2025-09-26T00:00:00Z
99,Dynamic Search Ads 2024,Search,2026-01-18,2026-04-17,28415.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Parents, Millennials 25-34, Desktop Users",Chris Anderson,Google Ads,,2025-12-26T00:00:00Z
100,Influencer Partnership 2025,Social Media,2025-08-24,2025-09-27,44656.26,46741.82,6994996.0,43186.0,571.0,1.32,0.62,1.08,105.85,Completed,"Returning Customers, Premium Shoppers",Stephanie Davis,TikTok,,2025-08-03T00:00:00Z
101,Holiday Search Push 2025,Search,2026-02-05,2026-03-20,94347.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Budget Conscious,David Kim,Google Ads,,2026-01-08T00:00:00Z
102,Q4 Search Campaign 2024,Search,2025-04-13,2025-04-30,46426.81,48078.29,3061143.0,164784.0,14978.0,9.09,5.38,0.29,1000.0,Completed,Weekend Browsers,Stephanie Davis,Google Ads,,2025-03-26T00:00:00Z
103,Memorial Day Social Campaign 2023,Social Media,2026-03-03,2026-04-24,8502.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Parents,Sarah Johnson,LinkedIn,,2026-02-20T00:00:00Z
104,Spring Search Campaign 2023,Search,2025-03-27,2025-04-18,93225.99,96178.45,17033195.0,442350.0,40121.0,9.07,2.6,0.22,1000.0,Completed,High LTV Customers,Stephanie Davis,Google Ads,,2025-02-28T00:00:00Z
105,Cyber Monday Email Blast 2024,Email,2025-10-29,2026-01-18,4841.12,3048.29,228609.0,11153.0,118.0,1.06,4.88,0.27,119.24,Active,"Social Followers, Budget Conscious",Chris Anderson,,,2025-10-13T00:00:00Z
106,Competitor Conquest 2023,Search,2025-09-06,2025-09-22,16125.9,13596.62,1553238.0,128778.0,9624.0,7.47,8.29,0.11,1000.0,Completed,"Loyalty Members, Tech Enthusiasts, Cart Abandoners",Brian Wilson,Google Ads,,2025-08-18T00:00:00Z
107,Competitor Conquest 2025,Search,2025-11-14,2025-12-28,38770.98,29327.49,2844158.0,260652.0,21109.0,8.1,9.16,0.11,1000.0,Active,"Loyalty Members, Mobile Users",Nicole Taylor,Google Ads,,2025-10-26T00:00:00Z
108,Q1 Social Push 2024,Social Media,2025-11-21,2026-01-27,16443.58,7051.88,374681.0,7670.0,228.0,2.97,2.05,0.92,368.9,Active,"Weekend Browsers, High LTV Customers",Rachel Green,LinkedIn,Variant A,2025-10-26T00:00:00Z
109,Valentine Email Blast 2023,Email,2025-09-17,2025-10-17,8908.16,491.03,50603.0,1961.0,154.0,7.85,3.88,0.25,,Cancelled,Homeowners,David Kim,,Control,2025-08-22T00:00:00Z
110,Summer Social Push 2024,Social Media,2025-12-27,2026-01-21,26345.65,33.29,4313.0,101.0,4.0,3.96,2.34,0.33,,Cancelled,Fashion Forward,David Kim,LinkedIn,,2025-12-12T00:00:00Z
111,Retargeting Display 2024,Display,2025-11-24,2026-01-28,60529.43,25236.04,2238822.0,6187.0,169.0,2.73,0.28,4.08,64.52,Active,"Frequent Buyers, Mobile Users, High LTV Customers",Sarah Johnson,Google Ads,,2025-11-15T00:00:00Z
112,Cyber Monday Search Push 2024,Search,2025-11-26,2026-02-22,6154.76,1683.98,137822.0,9528.0,776.0,8.14,6.91,0.18,1000.0,Active,Parents,Emily Rodriguez,Google Ads,Variant B,2025-11-11T00:00:00Z
113,Labor Day Social Campaign 2023,Social Media,2024-11-03,2025-01-03,11869.55,12153.33,698059.0,19357.0,164.0,0.85,2.77,0.63,229.6,Completed,"Millennials 25-34, Weekend Browsers",Brian Wilson,LinkedIn,,2024-10-26T00:00:00Z
